Stock Price,Equity,Portfolio,Buy Threshold,Sell Threshold
97.0457,987.924,0,95.0603,105.067
97.8034,987.924,0,95.0603,105.067
96.844,987.924,0,95.0603,105.067
97.0925,987.924,0,95.0603,105.067
97.4878,987.924,0,95.0603,105.067
98.0624,987.924,0,95.0603,105.067
97.9647,987.924,0,95.0603,105.067
97.5085,987.924,0,95.0603,105.067
97.8249,987.924,0,95.0603,105.067
98.6653,987.924,0,95.0603,105.067
99.1215,987.924,0,95.0603,105.067
99.232,987.924,0,95.0603,105.067
99.5384,987.924,0,93.3691,103.197
99.8142,987.924,0,93.3691,103.197
100.15,987.924,0,93.3691,103.197
99.2169,987.924,0,93.3691,103.197
98.7349,987.924,0,93.3691,103.197
99.5459,987.924,0,93.3691,103.197
99.4223,987.924,0,93.3691,103.197
99.8624,987.924,0,93.3691,103.197
99.9543,987.924,0,93.3691,103.197
99.2586,987.924,0,93.3691,103.197
99.0935,987.924,0,93.3691,103.197
98.5131,987.924,0,93.3691,103.197
98.4076,987.924,0,93.3691,103.197
98.9035,987.924,0,93.3691,103.197
98.1518,987.924,0,93.3691,103.197
97.6414,987.924,0,93.6338,103.49
97.6197,987.924,0,93.6338,103.49
98.1094,987.924,0,93.6338,103.49
97.4838,987.924,0,93.6338,103.49
98.0202,987.924,0,93.6338,103.49
97.0944,987.924,0,93.6338,103.49
97.7098,987.924,0,93.6338,103.49
98.0998,987.924,0,93.6338,103.49
97.8638,987.924,0,93.6338,103.49
97.0537,987.924,0,93.6338,103.49
97.4325,987.924,0,93.6338,103.49
97.0781,987.924,0,93.6338,103.49
97.7057,987.924,0,93.6338,103.49
97.3027,987.924,0,93.6338,103.49
98.1773,987.924,0,93.6338,103.49
98.9106,987.924,0,93.5104,103.354
99.7737,987.924,0,93.5104,103.354
98.8837,987.924,0,93.5104,103.354
99.7525,987.924,0,93.5104,103.354
99.2862,987.924,0,93.5104,103.354
100.152,987.924,0,93.5104,103.354
100.326,987.924,0,93.5104,103.354
101.195,987.924,0,93.5104,103.354
102.088,987.924,0,93.5104,103.354
102.684,987.924,0,93.5104,103.354
102.025,987.924,0,93.5104,103.354
101.795,987.924,0,93.5104,103.354
101.72,987.924,0,93.5104,103.354
101.007,987.924,0,93.5104,103.354
100.59,987.924,0,93.5104,103.354
101.487,987.924,0,94.1951,104.11
101.206,987.924,0,94.1951,104.11
101.616,987.924,0,94.1951,104.11
100.855,987.924,0,94.1951,104.11
99.9754,987.924,0,94.1951,104.11
100.001,987.924,0,94.1951,104.11
